时间戳 = 1724636815.656000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636815.704000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636815.750000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636815.798000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636815.845000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636815.891000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636815.938000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636815.985000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636816.031000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636816.080000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636816.126000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636816.173000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636816.220000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636816.267000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636816.314000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636816.358000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636816.405000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636816.451000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636816.499000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636816.547000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636816.592000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636816.639000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636816.686000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636816.734000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636816.782000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636816.828000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636816.874000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636816.921000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636816.969000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636817.015000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636817.061000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636817.109000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636817.156000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636817.204000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636817.250000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636817.297000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636817.343000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636817.391000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636817.440000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636817.485000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636817.530000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636817.577000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636817.623000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636817.669000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636817.717000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636817.764000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636817.811000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636817.856000  方向盘角度 = -839  油门 = 32767  刹车 = 21585
时间戳 = 1724636817.904000  方向盘角度 = -841  油门 = 32767  刹车 = 22625
时间戳 = 1724636817.950000  方向盘角度 = -846  油门 = 32767  刹车 = 23405
时间戳 = 1724636817.998000  方向盘角度 = -846  油门 = 32767  刹车 = 23925
时间戳 = 1724636818.046000  方向盘角度 = -846  油门 = 32767  刹车 = 24445
时间戳 = 1724636818.093000  方向盘角度 = -846  油门 = 32767  刹车 = 24706
时间戳 = 1724636818.139000  方向盘角度 = -846  油门 = 32767  刹车 = 25226
时间戳 = 1724636818.187000  方向盘角度 = -846  油门 = 32767  刹车 = 25226
时间戳 = 1724636818.235000  方向盘角度 = -846  油门 = 32767  刹车 = 25226
时间戳 = 1724636818.281000  方向盘角度 = -846  油门 = 32767  刹车 = 25226
时间戳 = 1724636818.327000  方向盘角度 = -846  油门 = 32767  刹车 = 25226
时间戳 = 1724636818.373000  方向盘角度 = -846  油门 = 32767  刹车 = 25226
时间戳 = 1724636818.420000  方向盘角度 = -846  油门 = 32767  刹车 = 25746
时间戳 = 1724636818.468000  方向盘角度 = -846  油门 = 32767  刹车 = 26006
时间戳 = 1724636818.516000  方向盘角度 = -846  油门 = 32767  刹车 = 26006
时间戳 = 1724636818.561000  方向盘角度 = -846  油门 = 32767  刹车 = 26266
时间戳 = 1724636818.609000  方向盘角度 = -846  油门 = 32767  刹车 = 26526
时间戳 = 1724636818.654000  方向盘角度 = -846  油门 = 32767  刹车 = 26526
时间戳 = 1724636818.700000  方向盘角度 = -846  油门 = 32767  刹车 = 26526
时间戳 = 1724636818.749000  方向盘角度 = -846  油门 = 32767  刹车 = 27046
时间戳 = 1724636818.794000  方向盘角度 = -846  油门 = 32767  刹车 = 27566
时间戳 = 1724636818.841000  方向盘角度 = -846  油门 = 32767  刹车 = 27566
时间戳 = 1724636818.887000  方向盘角度 = -846  油门 = 32767  刹车 = 28866
时间戳 = 1724636818.935000  方向盘角度 = -846  油门 = 32767  刹车 = 29126
时间戳 = 1724636818.981000  方向盘角度 = -846  油门 = 32767  刹车 = 29386
时间戳 = 1724636819.029000  方向盘角度 = -841  油门 = 32767  刹车 = 29386
时间戳 = 1724636819.078000  方向盘角度 = -841  油门 = 32767  刹车 = 29646
时间戳 = 1724636819.124000  方向盘角度 = -841  油门 = 32767  刹车 = 29646
时间戳 = 1724636819.171000  方向盘角度 = -841  油门 = 32767  刹车 = 29906
时间戳 = 1724636819.218000  方向盘角度 = -841  油门 = 32767  刹车 = 29906
时间戳 = 1724636819.264000  方向盘角度 = -841  油门 = 32767  刹车 = 29126
时间戳 = 1724636819.314000  方向盘角度 = -841  油门 = 32767  刹车 = 29126
时间戳 = 1724636819.359000  方向盘角度 = -841  油门 = 32767  刹车 = 29126
时间戳 = 1724636819.406000  方向盘角度 = -841  油门 = 32767  刹车 = 29386
时间戳 = 1724636819.451000  方向盘角度 = -841  油门 = 32767  刹车 = 29386
时间戳 = 1724636819.498000  方向盘角度 = -841  油门 = 32767  刹车 = 29126
时间戳 = 1724636819.545000  方向盘角度 = -841  油门 = 32767  刹车 = 29126
时间戳 = 1724636819.592000  方向盘角度 = -841  油门 = 32767  刹车 = 29386
时间戳 = 1724636819.638000  方向盘角度 = -841  油门 = 32767  刹车 = 29646
时间戳 = 1724636819.685000  方向盘角度 = -841  油门 = 32767  刹车 = 28866
时间戳 = 1724636819.732000  方向盘角度 = -841  油门 = 32767  刹车 = 28866
时间戳 = 1724636819.779000  方向盘角度 = -841  油门 = 32767  刹车 = 28866
时间戳 = 1724636819.825000  方向盘角度 = -841  油门 = 32767  刹车 = 28866
时间戳 = 1724636819.870000  方向盘角度 = -841  油门 = 32767  刹车 = 28866
时间戳 = 1724636819.918000  方向盘角度 = -841  油门 = 32767  刹车 = 28866
时间戳 = 1724636819.965000  方向盘角度 = -840  油门 = 32767  刹车 = 28866
时间戳 = 1724636820.011000  方向盘角度 = -840  油门 = 32767  刹车 = 28866
时间戳 = 1724636820.059000  方向盘角度 = -840  油门 = 32767  刹车 = 29126
时间戳 = 1724636820.104000  方向盘角度 = -840  油门 = 32767  刹车 = 29646
时间戳 = 1724636820.152000  方向盘角度 = -840  油门 = 32767  刹车 = 30167
时间戳 = 1724636820.199000  方向盘角度 = -840  油门 = 32767  刹车 = 29906
时间戳 = 1724636820.247000  方向盘角度 = -840  油门 = 32767  刹车 = 30427
时间戳 = 1724636820.293000  方向盘角度 = -841  油门 = 32767  刹车 = 30427
时间戳 = 1724636820.341000  方向盘角度 = -841  油门 = 32767  刹车 = 30427
时间戳 = 1724636820.389000  方向盘角度 = -840  油门 = 32767  刹车 = 30427
时间戳 = 1724636820.436000  方向盘角度 = -840  油门 = 32767  刹车 = 30427
时间戳 = 1724636820.482000  方向盘角度 = -840  油门 = 32767  刹车 = 30427
时间戳 = 1724636820.529000  方向盘角度 = -840  油门 = 32767  刹车 = 30427
时间戳 = 1724636820.577000  方向盘角度 = -840  油门 = 32767  刹车 = 30427
时间戳 = 1724636820.626000  方向盘角度 = -840  油门 = 32767  刹车 = 30427
时间戳 = 1724636820.668000  方向盘角度 = -840  油门 = 32767  刹车 = 30167
时间戳 = 1724636820.713000  方向盘角度 = -840  油门 = 32767  刹车 = 30427
时间戳 = 1724636820.759000  方向盘角度 = -840  油门 = 32767  刹车 = 30167
时间戳 = 1724636820.807000  方向盘角度 = -840  油门 = 32767  刹车 = 30687
时间戳 = 1724636820.855000  方向盘角度 = -840  油门 = 32767  刹车 = 30427
时间戳 = 1724636820.903000  方向盘角度 = -840  油门 = 32767  刹车 = 30427
时间戳 = 1724636820.950000  方向盘角度 = -840  油门 = 32767  刹车 = 30427
时间戳 = 1724636820.997000  方向盘角度 = -840  油门 = 32767  刹车 = 30427
时间戳 = 1724636821.043000  方向盘角度 = -840  油门 = 32767  刹车 = 30687
时间戳 = 1724636821.091000  方向盘角度 = -840  油门 = 32767  刹车 = 30687
时间戳 = 1724636821.139000  方向盘角度 = -840  油门 = 32767  刹车 = 30687
时间戳 = 1724636821.187000  方向盘角度 = -840  油门 = 32767  刹车 = 30687
